repository,source,feature_category,subsystem,file_count,files
Artemis,PR #12611,SVG export and rendering correctness,Artemis modeling integration,4,src/main/webapp/app/modeling/overview/modeling-submission/modeling-submission.component.html; src/main/webapp/app/modeling/overview/modeling-submission/modeling-submission.component.ts; src/main/webapp/app/modeling/shared/apollon-model.util.ts; src/main/webapp/app/modeling/shared/modeling-editor/modeling-editor.component.ts
Artemis,PR #12611,SVG export and rendering correctness,Artemis quiz generation,1,src/main/webapp/app/quiz/manage/apollon-diagrams/exercise-generation/quiz-exercise-generator.ts
Artemis,PR #12611,SVG export and rendering correctness,Other,1,src/main/webapp/app/exercise/team-submission-sync/team-submission-sync.component.ts
Artemis,PR #12611,SVG export and rendering correctness,SVG/export pipeline,1,src/main/webapp/app/quiz/manage/apollon-diagrams/exercise-generation/svg-renderer.ts
Artemis,PR #12611,SVG export and rendering correctness,release/package/versioning files,2,package.json; pnpm-lock.yaml
Artemis,PR #12611,SVG export and rendering correctness,tests,4,src/main/webapp/app/exercise/team-submission-sync/team-submission-sync.component.spec.ts; src/main/webapp/app/modeling/manage/assess/modeling-assessment.component.spec.ts; src/main/webapp/app/modeling/overview/modeling-submission/modeling-submission-team.component.spec.ts; src/main/webapp/app/modeling/shared/modeling-editor/modeling-editor.component.spec.ts
Artemis,PR #12559,SVG export and rendering correctness,Artemis modeling integration,1,src/main/webapp/app/modeling/shared/apollon-model.util.ts
Artemis,PR #12559,SVG export and rendering correctness,Artemis quiz generation,5,src/main/webapp/app/quiz/manage/apollon-diagrams/detail/apollon-diagram-detail.component.ts; src/main/webapp/app/quiz/manage/apollon-diagrams/exercise-generation/quiz-exercise-generator.ts; src/main/webapp/app/quiz/manage/drag-and-drop-question/drag-and-drop-question-edit.component.html; src/main/webapp/app/quiz/manage/drag-and-drop-question/drag-and-drop-question-edit.component.ts; src/main/webapp/app/quiz/shared/entities/quiz-exercise-update-dto.model.ts
Artemis,PR #12559,SVG export and rendering correctness,SVG/export pipeline,1,src/main/webapp/app/quiz/manage/apollon-diagrams/exercise-generation/svg-renderer.ts
Artemis,PR #12559,SVG export and rendering correctness,tests,3,src/main/webapp/app/quiz/manage/apollon-diagrams/detail/apollon-diagram-detail.component.spec.ts; src/main/webapp/app/quiz/manage/apollon-diagrams/exercise-generation/quiz-exercise-generator.spec.ts; src/main/webapp/app/quiz/shared/entities/quiz-exercise-update-dto.model.spec.ts
Artemis,PR #12189,Apollon v3 to v4 migration support,Artemis assessment UI,15,src/main/webapp/app/assessment/manage/assessment-instructions/assessment-instructions/assessment-instructions.component.ts; src/main/webapp/app/assessment/shared/entities/feedback.model.ts; src/main/webapp/app/exercise/structured-grading-criterion/structured-grading-criterion.service.ts; src/main/webapp/app/exercise/unreferenced-feedback/unreferenced-feedback.component.html; src/main/webapp/app/fileupload/manage/assess/file-upload-assessment.component.html; src/main/webapp/app/fileupload/manage/assess/file-upload-assessment.component.ts; src/main/webapp/app/modeling/manage/assess/modeling-assessment-editor/modeling-assessment-editor.component.ts; src/main/webapp/app/modeling/manage/assess/modeling-assessment.component.html; src/main/webapp/app/modeling/manage/assess/modeling-assessment.component.scss; src/main/webapp/app/modeling/manage/assess/modeling-assessment.component.ts; src/main/webapp/app/modeling/manage/assess/modeling-assessment.util.ts; src/main/webapp/app/programming/manage/assess/code-editor-tutor-assessment-container/code-editor-tutor-assessment-container.component.html; src/main/webapp/app/programming/manage/assess/code-editor-tutor-assessment-container/code-editor-tutor-assessment-container.component.ts; src/main/webapp/app/text/manage/assess/submission-assessment/text-submission-assessment.component.html; src/main/webapp/app/text/manage/assess/submission-assessment/text-submission-assessment.component.ts
